Subject,NFC,Ad_Trial,Ad_Real_No,Gender,Age,Education,Nationality_Participant,MarketingExperience,RT,Appreciation,Effectiveness,Humour,Complexity1,Complexity2,Advert_Nationality
4,0.666666667,28,40,Female,18-24,A-Level ,British,Yes,28955,2,2,1,Simple,Metaphor,British
4,0.666666667,29,41,Female,18-24,A-Level ,British,Yes,3106,5,4,3,Complex,Metaphtonymy,British
4,0.666666667,30,42,Female,18-24,A-Level ,British,Yes,1990,4,5,1,Complex,Metaphtonymy,British
5,0.611111111,1,1,Female,18-24,A-Level ,British,No,4195,2,4,3,Complex,Metaphtonymy,Chinese
5,0.611111111,2,2,Female,18-24,A-Level ,British,No,2046,3,4,2,Complex,Metaphtonymy,Chinese
5,0.611111111,3,3,Female,18-24,A-Level ,British,No,9114,4,4,3,Complex,Metaphtonymy,Chinese
5,0.611111111,4,4,Female,18-24,A-Level ,British,No,3682,5,5,2,Complex,Metaphtonymy,Chinese
5,0.611111111,5,5,Female,18-24,A-Level ,British,No,5278,5,5,2,Complex,Metaphtonymy,Chinese
5,0.611111111,6,6,Female,18-24,A-Level ,British,No,4057,4,5,2,Simple,Metaphor,Chinese
5,0.611111111,7,7,Female,18-24,A-Level ,British,No,1908,4,4,3,Simple,Metonymy,Chinese
5,0.611111111,8,8,Female,18-24,A-Level ,British,No,9484,4,4,1,Complex,Metonymic chain,Chinese
5,0.611111111,9,11,Female,18-24,A-Level ,British,No,8079,3,2,1,Complex,Metaphoric complex,Chinese
5,0.611111111,10,13,Female,18-24,A-Level ,British,No,2957,5,5,3,Complex,Metaphoric complex,Chinese
5,0.611111111,11,16,Female,18-24,A-Level ,British,No,5850,4,3,1,Simple,Metonymy,Spanish
5,0.611111111,12,20,Female,18-24,A-Level ,British,No,15357,4,4,1,Complex,Metaphtonymy,Spanish
5,0.611111111,13,21,Female,18-24,A-Level ,British,No,5894,4,4,3,Simple,Metaphor,Spanish
5,0.611111111,14,22,Female,18-24,A-Level ,British,No,10855,2,2,1,Complex,Metaphtonymy,Spanish
5,0.611111111,15,23,Female,18-24,A-Level ,British,No,4282,4,4,2,Complex,Metaphtonymy,Spanish
5,0.611111111,16,24,Female,18-24,A-Level ,British,No,3540,3,2,1,Complex,Metaphtonymy,Spanish
5,0.611111111,17,25,Female,18-24,A-Level ,British,No,1933,4,5,2,Simple,Metaphor,Spanish
5,0.611111111,18,26,Female,18-24,A-Level ,British,No,6418,3,3,2,Complex,Metonymic chain,Spanish
5,0.611111111,19,27,Female,18-24,A-Level ,British,No,15607,3,2,2,Simple,Metonymy,Spanish
5,0.611111111,20,28,Female,18-24,A-Level ,British,No,2592,4,4,1,Simple,Metaphor,Spanish
5,0.611111111,21,29,Female,18-24,A-Level ,British,No,5649,2,3,2,Simple,Metonymy,British
5,0.611111111,22,30,Female,18-24,A-Level ,British,No,8671,4,4,2,Simple,Metaphor,British
5,0.611111111,23,33,Female,18-24,A-Level ,British,No,2923,5,4,2,Complex,Metaphtonymy,British
5,0.611111111,24,36,Female,18-24,A-Level ,British,No,4931,5,5,2,Complex,Metaphtonymy,British
5,0.611111111,25,37,Female,18-24,A-Level ,British,No,7374,2,5,1,Complex,Metaphtonymy,British
5,0.611111111,26,38,Female,18-24,A-Level ,British,No,4056,4,4,2,Simple,Metaphor,British
5,0.611111111,27,39,Female,18-24,A-Level ,British,No,3783,4,4,2,Simple,Metonymy,British
5,0.611111111,28,40,Female,18-24,A-Level ,British,No,26963,2,1,1,Simple,Metaphor,British
5,0.611111111,29,41,Female,18-24,A-Level ,British,No,2538,5,4,3,Complex,Metaphtonymy,British
5,0.611111111,30,42,Female,18-24,A-Level ,British,No,4068,4,4,1,Complex,Metaphtonymy,British
6,0.666666667,1,1,Female,18-24,A-Level ,British,Yes,3522,1,1,1,Complex,Metaphtonymy,Chinese
6,0.666666667,2,2,Female,18-24,A-Level ,British,Yes,1996,2,2,1,Complex,Metaphtonymy,Chinese
6,0.666666667,3,3,Female,18-24,A-Level ,British,Yes,4622,4,5,3,Complex,Metaphtonymy,Chinese
6,0.666666667,4,4,Female,18-24,A-Level ,British,Yes,3644,5,5,3,Complex,Metaphtonymy,Chinese
6,0.666666667,5,5,Female,18-24,A-Level ,British,Yes,1826,4,5,1,Complex,Metaphtonymy,Chinese
6,0.666666667,6,6,Female,18-24,A-Level ,British,Yes,2245,2,4,1,Simple,Metaphor,Chinese
6,0.666666667,7,7,Female,18-24,A-Level ,British,Yes,3760,3,4,3,Simple,Metonymy,Chinese
6,0.666666667,8,8,Female,18-24,A-Level ,British,Yes,3766,1,4,1,Complex,Metonymic chain,Chinese
6,0.666666667,9,11,Female,18-24,A-Level ,British,Yes,10579,3,4,1,Complex,Metaphoric complex,Chinese
6,0.666666667,10,13,Female,18-24,A-Level ,British,Yes,5748,4,4,2,Complex,Metaphoric complex,Chinese
6,0.666666667,11,16,Female,18-24,A-Level ,British,Yes,2269,2,4,1,Simple,Metonymy,Spanish
6,0.666666667,12,20,Female,18-24,A-Level ,British,Yes,4947,4,4,3,Complex,Metaphtonymy,Spanish
6,0.666666667,13,21,Female,18-24,A-Level ,British,Yes,4731,5,5,3,Simple,Metaphor,Spanish
6,0.666666667,14,22,Female,18-24,A-Level ,British,Yes,2802,4,2,1,Complex,Metaphtonymy,Spanish
6,0.666666667,15,23,Female,18-24,A-Level ,British,Yes,4567,4,4,2,Complex,Metaphtonymy,Spanish
6,0.666666667,16,24,Female,18-24,A-Level ,British,Yes,8102,1,1,1,Complex,Metaphtonymy,Spanish
6,0.666666667,17,25,Female,18-24,A-Level ,British,Yes,2402,3,3,1,Simple,Metaphor,Spanish
6,0.666666667,18,26,Female,18-24,A-Level ,British,Yes,2542,2,3,1,Complex,Metonymic chain,Spanish
6,0.666666667,19,27,Female,18-24,A-Level ,British,Yes,10920,1,1,1,Simple,Metonymy,Spanish
6,0.666666667,20,28,Female,18-24,A-Level ,British,Yes,4211,1,2,1,Simple,Metaphor,Spanish
6,0.666666667,21,29,Female,18-24,A-Level ,British,Yes,7605,4,5,2,Simple,Metonymy,British
6,0.666666667,22,30,Female,18-24,A-Level ,British,Yes,7595,3,4,2,Simple,Metaphor,British
6,0.666666667,23,33,Female,18-24,A-Level ,British,Yes,4059,4,5,2,Complex,Metaphtonymy,British
6,0.666666667,24,36,Female,18-24,A-Level ,British,Yes,2545,4,4,1,Complex,Metaphtonymy,British
6,0.666666667,25,37,Female,18-24,A-Level ,British,Yes,11026,5,5,1,Complex,Metaphtonymy,British
6,0.666666667,26,38,Female,18-24,A-Level ,British,Yes,4616,5,5,3,Simple,Metaphor,British
6,0.666666667,27,39,Female,18-24,A-Level ,British,Yes,7888,1,1,1,Simple,Metonymy,British
6,0.666666667,28,40,Female,18-24,A-Level ,British,Yes,11267,3,1,1,Simple,Metaphor,British
6,0.666666667,29,41,Female,18-24,A-Level ,British,Yes,2669,5,5,3,Complex,Metaphtonymy,British
6,0.666666667,30,42,Female,18-24,A-Level ,British,Yes,4197,5,5,1,Complex,Metaphtonymy,British
8,1.722222222,1,1,Female,18-24,A-Level ,British,Yes,7564,1,1,1,Complex,Metaphtonymy,Chinese
8,1.722222222,2,2,Female,18-24,A-Level ,British,Yes,7176,4,4,2,Complex,Metaphtonymy,Chinese
8,1.722222222,3,3,Female,18-24,A-Level ,British,Yes,14264,4,4,3,Complex,Metaphtonymy,Chinese
8,1.722222222,4,4,Female,18-24,A-Level ,British,Yes,9508,3,4,1,Complex,Metaphtonymy,Chinese
8,1.722222222,5,5,Female,18-24,A-Level ,British,Yes,15470,4,4,2,Complex,Metaphtonymy,Chinese
8,1.722222222,6,6,Female,18-24,A-Level ,British,Yes,14648,4,5,1,Simple,Metaphor,Chinese
8,1.722222222,7,7,Female,18-24,A-Level ,British,Yes,7517,5,5,3,Simple,Metonymy,Chinese
8,1.722222222,8,8,Female,18-24,A-Level ,British,Yes,14046,2,2,1,Complex,Metonymic chain,Chinese
8,1.722222222,9,11,Female,18-24,A-Level ,British,Yes,21857,3,3,1,Complex,Metaphoric complex,Chinese
8,1.722222222,10,13,Female,18-24,A-Level ,British,Yes,16862,2,2,1,Complex,Metaphoric complex,Chinese
8,1.722222222,11,16,Female,18-24,A-Level ,British,Yes,14219,1,1,1,Simple,Metonymy,Spanish
8,1.722222222,12,20,Female,18-24,A-Level ,British,Yes,10570,3,3,1,Complex,Metaphtonymy,Spanish
8,1.722222222,13,21,Female,18-24,A-Level ,British,Yes,11325,2,3,2,Simple,Metaphor,Spanish
8,1.722222222,14,22,Female,18-24,A-Level ,British,Yes,9272,5,5,1,Complex,Metaphtonymy,Spanish
8,1.722222222,15,23,Female,18-24,A-Level ,British,Yes,5138,4,4,2,Complex,Metaphtonymy,Spanish
8,1.722222222,16,24,Female,18-24,A-Level ,British,Yes,11641,5,5,2,Complex,Metaphtonymy,Spanish
8,1.722222222,17,25,Female,18-24,A-Level ,British,Yes,26460,1,1,1,Simple,Metaphor,Spanish
8,1.722222222,18,26,Female,18-24,A-Level ,British,Yes,14234,4,4,2,Complex,Metonymic chain,Spanish
8,1.722222222,19,27,Female,18-24,A-Level ,British,Yes,36824,5,5,3,Simple,Metonymy,Spanish
8,1.722222222,20,28,Female,18-24,A-Level ,British,Yes,11494,2,2,1,Simple,Metaphor,Spanish
8,1.722222222,21,29,Female,18-24,A-Level ,British,Yes,17530,3,4,1,Simple,Metonymy,British
8,1.722222222,22,30,Female,18-24,A-Level ,British,Yes,10755,4,4,2,Simple,Metaphor,British
8,1.722222222,23,33,Female,18-24,A-Level ,British,Yes,7324,5,5,2,Complex,Metaphtonymy,British
8,1.722222222,24,36,Female,18-24,A-Level ,British,Yes,6934,5,5,2,Complex,Metaphtonymy,British
8,1.722222222,25,37,Female,18-24,A-Level ,British,Yes,26339,5,5,1,Complex,Metaphtonymy,British
8,1.722222222,26,38,Female,18-24,A-Level ,British,Yes,7943,5,5,3,Simple,Metaphor,British
8,1.722222222,27,39,Female,18-24,A-Level ,British,Yes,26524,3,4,1,Simple,Metonymy,British
8,1.722222222,28,40,Female,18-24,A-Level ,British,Yes,23434,2,2,1,Simple,Metaphor,British
8,1.722222222,29,41,Female,18-24,A-Level ,British,Yes,10671,4,5,2,Complex,Metaphtonymy,British
8,1.722222222,30,42,Female,18-24,A-Level ,British,Yes,7547,5,5,1,Complex,Metaphtonymy,British
9,1.111111111,1,1,Male,18-24,A-Level ,British,No,8717,3,5,1,Complex,Metaphtonymy,Chinese
9,1.111111111,2,2,Male,18-24,A-Level ,British,No,3716,4,4,2,Complex,Metaphtonymy,Chinese
9,1.111111111,3,3,Male,18-24,A-Level ,British,No,9318,4,5,2,Complex,Metaphtonymy,Chinese
9,1.111111111,4,4,Male,18-24,A-Level ,British,No,7024,4,4,1,Complex,Metaphtonymy,Chinese
9,1.111111111,5,5,Male,18-24,A-Level ,British,No,2485,3,5,1,Complex,Metaphtonymy,Chinese
9,1.111111111,6,6,Male,18-24,A-Level ,British,No,6511,4,4,2,Simple,Metaphor,Chinese
9,1.111111111,7,7,Male,18-24,A-Level ,British,No,26687,3,2,1,Simple,Metonymy,Chinese
9,1.111111111,8,8,Male,18-24,A-Level ,British,No,9804,4,4,2,Complex,Metonymic chain,Chinese
9,1.111111111,9,11,Male,18-24,A-Level ,British,No,10566,2,4,1,Complex,Metaphoric complex,Chinese
9,1.111111111,10,13,Male,18-24,A-Level ,British,No,11467,3,3,1,Complex,Metaphoric complex,Chinese
9,1.111111111,11,16,Male,18-24,A-Level ,British,No,6365,4,4,1,Simple,Metonymy,Spanish
9,1.111111111,12,20,Male,18-24,A-Level ,British,No,7902,4,4,2,Complex,Metaphtonymy,Spanish
9,1.111111111,13,21,Male,18-24,A-Level ,British,No,4366,5,4,3,Simple,Metaphor,Spanish
9,1.111111111,14,22,Male,18-24,A-Level ,British,No,8526,5,5,1,Complex,Metaphtonymy,Spanish
9,1.111111111,15,23,Male,18-24,A-Level ,British,No,10090,1,1,1,Complex,Metaphtonymy,Spanish
9,1.111111111,16,24,Male,18-24,A-Level ,British,No,4775,4,4,1,Complex,Metaphtonymy,Spanish
9,1.111111111,17,25,Male,18-24,A-Level ,British,No,23796,2,2,1,Simple,Metaphor,Spanish
9,1.111111111,18,26,Male,18-24,A-Level ,British,No,4370,5,5,3,Complex,Metonymic chain,Spanish
9,1.111111111,19,27,Male,18-24,A-Level ,British,No,21516,4,3,2,Simple,Metonymy,Spanish
9,1.111111111,20,28,Male,18-24,A-Level ,British,No,4267,4,4,1,Simple,Metaphor,Spanish
9,1.111111111,21,29,Male,18-24,A-Level ,British,No,6499,4,5,3,Simple,Metonymy,British
9,1.111111111,22,30,Male,18-24,A-Level ,British,No,6360,4,4,2,Simple,Metaphor,British
9,1.111111111,23,33,Male,18-24,A-Level ,British,No,5179,5,5,3,Complex,Metaphtonymy,British
9,1.111111111,24,36,Male,18-24,A-Level ,British,No,10287,4,3,1,Complex,Metaphtonymy,British
9,1.111111111,25,37,Male,18-24,A-Level ,British,No,6020,3,4,1,Complex,Metaphtonymy,British
9,1.111111111,26,38,Male,18-24,A-Level ,British,No,6592,5,5,3,Simple,Metaphor,British
9,1.111111111,27,39,Male,18-24,A-Level ,British,No,13388,4,4,1,Simple,Metonymy,British
9,1.111111111,28,40,Male,18-24,A-Level ,British,No,15967,2,2,1,Simple,Metaphor,British
9,1.111111111,29,41,Male,18-24,A-Level ,British,No,2502,5,5,3,Complex,Metaphtonymy,British
9,1.111111111,30,42,Male,18-24,A-Level ,British,No,19995,3,4,1,Complex,Metaphtonymy,British
10,0.777777778,1,1,Male,18-24,A-Level ,British,Yes,1884,3,4,2,Complex,Metaphtonymy,Chinese
10,0.777777778,2,2,Male,18-24,A-Level ,British,Yes,2185,4,4,2,Complex,Metaphtonymy,Chinese
10,0.777777778,3,3,Male,18-24,A-Level ,British,Yes,2650,5,4,2,Complex,Metaphtonymy,Chinese
10,0.777777778,4,4,Male,18-24,A-Level ,British,Yes,2991,5,4,1,Complex,Metaphtonymy,Chinese
10,0.777777778,5,5,Male,18-24,A-Level ,British,Yes,3982,4,4,1,Complex,Metaphtonymy,Chinese
10,0.777777778,6,6,Male,18-24,A-Level ,British,Yes,1492,2,3,1,Simple,Metaphor,Chinese
10,0.777777778,7,7,Male,18-24,A-Level ,British,Yes,1777,5,4,3,Simple,Metonymy,Chinese
